ID,송신시간,수신시간,응답시간(ms),MSG_Type,센서명,상태,비고
8,2025-10-24 11:07:31.229,2025-10-24 11:07:31.400,170.89,온습도 센서,온습도 센서,성공,
9,2025-10-24 11:07:32.416,2025-10-24 11:07:32.527,110.91,CO2 센서,CO2 센서,성공,
10,2025-10-24 11:07:33.537,2025-10-24 11:07:33.707,170.31,단상 전력량계,단상 전력량계,성공,
11,2025-10-24 11:07:34.721,2025-10-24 11:07:34.891,169.92,온습도 센서,온습도 센서,성공,
12,2025-10-24 11:07:35.905,2025-10-24 11:07:36.077,172.13,CO2 센서,CO2 센서,성공,
13,2025-10-24 11:07:37.088,2025-10-24 11:07:37.145,57.02,단상 전력량계,단상 전력량계,성공,
14,2025-10-24 11:07:38.147,2025-10-24 11:07:38.237,90.43,온습도 센서,온습도 센서,성공,
15,2025-10-24 11:07:39.238,2025-10-24 11:07:39.402,163.43,CO2 센서,CO2 센서,성공,
1,2025-10-24 11:07:40.958,2025-10-24 11:07:45.974,,단상 전력량계,단상 전력량계,타임아웃,응답 없음
1,2025-10-24 11:08:27.740,2025-10-24 11:08:27.882,141.37,단상 전력량계,단상 전력량계,성공,
2,2025-10-24 11:08:29.896,2025-10-24 11:08:30.066,170.50,온습도 센서,온습도 센서,성공,
3,2025-10-24 11:08:32.083,2025-10-24 11:08:32.253,170.61,CO2 센서,CO2 센서,성공,
4,2025-10-24 11:08:34.256,2025-10-24 11:08:34.445,,단상 전력량계,단상 전력량계,타임아웃,응답 없음
5,2025-10-24 11:08:36.459,2025-10-24 11:08:36.567,108.28,온습도 센서,온습도 센서,성공,
