시간,MSG_Type,센서명,측정항목,값,단위,상태
2025-10-24 10:46:13.582,0x01,단상 전력량계,전류,5.27,A,OK
2025-10-24 10:46:13.582,0x01,단상 전력량계,전력,4.887,kW,OK
2025-10-24 10:46:13.582,0x01,단상 전력량계,전력량,6200,kWh,OK
2025-10-24 10:46:14.765,0x07,온습도 센서,온도,28.5,℃,OK
2025-10-24 10:46:14.765,0x07,온습도 센서,습도,36.1,%,OK
2025-10-24 10:46:18.282,0x07,온습도 센서,온도,15.1,℃,OK
2025-10-24 10:46:18.282,0x07,온습도 센서,습도,47.9,%,OK
2025-10-24 10:46:21.831,0x07,온습도 센서,온도,26.1,℃,OK
2025-10-24 10:46:21.831,0x07,온습도 센서,습도,59.1,%,OK
2025-10-24 10:46:23.019,0x06,CO2 센서,CO2,1291,ppm,OK
2025-10-24 10:46:25.388,0x07,온습도 센서,온도,24.4,℃,OK
2025-10-24 10:46:25.388,0x07,온습도 센서,습도,40.6,%,OK
2025-10-24 10:46:26.571,0x06,CO2 센서,CO2,1370,ppm,OK
2025-10-24 10:46:27.692,0x01,단상 전력량계,전압,210.4,V,OK
2025-10-24 10:46:27.692,0x01,단상 전력량계,전류,11.76,A,OK
2025-10-24 10:46:27.692,0x01,단상 전력량계,전력,4.102,kW,OK
2025-10-24 10:46:27.692,0x01,단상 전력량계,전력량,63384,kWh,OK
2025-10-24 10:46:28.875,0x07,온습도 센서,온도,16.3,℃,OK
2025-10-24 10:46:28.875,0x07,온습도 센서,습도,39.6,%,OK
2025-10-24 10:46:31.246,0x01,단상 전력량계,전압,215.3,V,OK
2025-10-24 10:46:31.246,0x01,단상 전력량계,전류,10.91,A,OK
2025-10-24 10:46:31.246,0x01,단상 전력량계,전력,2.836,kW,OK
2025-10-24 10:46:31.246,0x01,단상 전력량계,전력량,19047,kWh,OK
2025-10-24 10:46:32.432,0x07,온습도 센서,온도,16.4,℃,OK
2025-10-24 10:46:32.432,0x07,온습도 센서,습도,50.0,%,OK
2025-10-24 10:46:33.617,0x06,CO2 센서,CO2,445,ppm,OK
2025-10-24 11:07:23.357,0x01,단상 전력량계,전압,215.1,V,OK
2025-10-24 11:07:23.357,0x01,단상 전력량계,전류,15.38,A,OK
2025-10-24 11:07:23.357,0x01,단상 전력량계,전력,4.444,kW,OK
2025-10-24 11:07:23.357,0x01,단상 전력량계,전력량,18165,kWh,OK
2025-10-24 11:07:24.477,0x07,온습도 센서,온도,34.2,℃,OK
2025-10-24 11:07:24.477,0x07,온습도 센서,습도,60.9,%,OK
2025-10-24 11:07:25.600,0x06,CO2 센서,CO2,1213,ppm,OK
2025-10-24 11:07:30.216,0x01,단상 전력량계,전압,227.9,V,OK
2025-10-24 11:07:30.216,0x01,단상 전력량계,전류,19.61,A,OK
2025-10-24 11:07:30.216,0x01,단상 전력량계,전력,1.632,kW,OK
2025-10-24 11:07:30.216,0x01,단상 전력량계,전력량,65230,kWh,OK
2025-10-24 11:07:31.400,0x07,온습도 센서,온도,18.3,℃,OK
2025-10-24 11:07:31.400,0x07,온습도 센서,습도,69.1,%,OK
2025-10-24 11:07:32.527,0x06,CO2 센서,CO2,1246,ppm,OK
2025-10-24 11:07:33.707,0x01,단상 전력량계,전압,218.7,V,OK
2025-10-24 11:07:33.707,0x01,단상 전력량계,전류,17.59,A,OK
2025-10-24 11:07:33.707,0x01,단상 전력량계,전력,2.065,kW,OK
2025-10-24 11:07:33.707,0x01,단상 전력량계,전력량,9306,kWh,OK
2025-10-24 11:07:34.891,0x07,온습도 센서,온도,29.4,℃,OK
2025-10-24 11:07:34.891,0x07,온습도 센서,습도,68.0,%,OK
2025-10-24 11:07:36.077,0x06,CO2 센서,CO2,1373,ppm,OK
2025-10-24 11:07:37.145,0x01,단상 전력량계,전압,215.3,V,OK
2025-10-24 11:07:37.145,0x01,단상 전력량계,전류,16.59,A,OK
2025-10-24 11:07:37.145,0x01,단상 전력량계,전력,2.591,kW,OK
2025-10-24 11:07:37.145,0x01,단상 전력량계,전력량,70064,kWh,OK
2025-10-24 11:07:38.237,0x07,온습도 센서,온도,15.0,℃,OK
2025-10-24 11:07:38.237,0x07,온습도 센서,습도,39.4,%,OK
2025-10-24 11:07:39.402,0x06,CO2 센서,CO2,616,ppm,OK
2025-10-24 11:08:27.882,0x01,단상 전력량계,전압,221.9,V,OK
2025-10-24 11:08:27.882,0x01,단상 전력량계,전류,15.23,A,OK
2025-10-24 11:08:27.882,0x01,단상 전력량계,전력,4.013,kW,OK
2025-10-24 11:08:27.882,0x01,단상 전력량계,전력량,95963,kWh,OK
2025-10-24 11:08:30.066,0x07,온습도 센서,온도,17.3,℃,OK
2025-10-24 11:08:30.066,0x07,온습도 센서,습도,76.0,%,OK
2025-10-24 11:08:32.253,0x06,CO2 센서,CO2,446,ppm,OK
2025-10-24 11:08:36.567,0x07,온습도 센서,온도,16.7,℃,OK
2025-10-24 11:08:36.567,0x07,온습도 센서,습도,58.1,%,OK
